"datetime","dischargecfs","date","hh","mm","dischargem3","elapseddays","elapsedhours","avgdism3","avgdism315"
"2006-01-01 00:00",88,2006-01-01,"00","00",2.4918784,0,0,2.47772,2.4706408
"2006-01-01 00:15",87,2006-01-01,"00","15",2.4635616,0,0,2.47772,2.4706408
"2006-01-01 00:30",87,2006-01-01,"00","30",2.4635616,0,0,2.47772,2.4706408
"2006-01-01 00:45",87,2006-01-01,"00","45",2.4635616,0,0,2.47772,2.4706408
"2006-01-01 01:00",87,2006-01-01,"01","00",2.4635616,0,1,2.4741804,2.4635616
"2006-01-01 01:15",88,2006-01-01,"01","15",2.4918784,0,1,2.4741804,2.4635616
"2006-01-01 01:30",87,2006-01-01,"01","30",2.4635616,0,1,2.4741804,2.4635616
"2006-01-01 01:45",86,2006-01-01,"01","45",2.4352448,0,1,2.4741804,2.4635616
"2006-01-01 02:00",89,2006-01-01,"02","00",2.5201952,0,2,2.4635616,2.4706408
"2006-01-01 02:15",87,2006-01-01,"02","15",2.4635616,0,2,2.4635616,2.4706408
"2006-01-01 02:30",86,2006-01-01,"02","30",2.4352448,0,2,2.4635616,2.4706408
"2006-01-01 02:45",87,2006-01-01,"02","45",2.4635616,0,2,2.4635616,2.4706408
"2006-01-01 03:00",86,2006-01-01,"03","00",2.4352448,0,3,2.45789824,2.4564824
"2006-01-01 03:15",87,2006-01-01,"03","15",2.4635616,0,3,2.45789824,2.4564824
"2006-01-01 03:30",87,2006-01-01,"03","30",2.4635616,0,3,2.45789824,2.4564824
"2006-01-01 03:45",87,2006-01-01,"03","45",2.4635616,0,3,2.45789824,2.4564824
"2006-01-01 04:00",87,2006-01-01,"04","00",2.4635616,0,4,2.45726897777778,2.442324
"2006-01-01 04:15",86,2006-01-01,"04","15",2.4352448,0,4,2.45726897777778,2.442324
"2006-01-01 04:30",86,2006-01-01,"04","30",2.4352448,0,4,2.45726897777778,2.442324
"2006-01-01 04:45",86,2006-01-01,"04","45",2.4352448,0,4,2.45726897777778,2.442324
"2006-01-01 05:00",86,2006-01-01,"05","00",2.4352448,0,5,2.43839111111111,2.442324
"2006-01-01 05:15",87,2006-01-01,"05","15",2.4635616,0,5,2.43839111111111,2.442324
"2006-01-01 05:30",87,2006-01-01,"05","30",2.4635616,0,5,2.43839111111111,2.442324
"2006-01-01 05:45",85,2006-01-01,"05","45",2.406928,0,5,2.43839111111111,2.442324
"2006-01-01 06:00",85,2006-01-01,"06","00",2.406928,0,6,2.41951324444444,2.4210864
"2006-01-01 06:15",86,2006-01-01,"06","15",2.4352448,0,6,2.41951324444444,2.4210864
"2006-01-01 06:30",86,2006-01-01,"06","30",2.4352448,0,6,2.41951324444444,2.4210864
"2006-01-01 06:45",85,2006-01-01,"06","45",2.406928,0,6,2.41951324444444,2.4210864
"2006-01-01 07:00",85,2006-01-01,"07","00",2.406928,0,7,2.39748906666667,2.3856904
"2006-01-01 07:15",84,2006-01-01,"07","15",2.3786112,0,7,2.39748906666667,2.3856904
"2006-01-01 07:30",84,2006-01-01,"07","30",2.3786112,0,7,2.39748906666667,2.3856904
"2006-01-01 07:45",84,2006-01-01,"07","45",2.3786112,0,7,2.39748906666667,2.3856904
"2006-01-01 08:00",84,2006-01-01,"08","00",2.3786112,0,8,2.38427456,2.3856904
"2006-01-01 08:15",85,2006-01-01,"08","15",2.406928,0,8,2.38427456,2.3856904
"2006-01-01 08:30",84,2006-01-01,"08","30",2.3786112,0,8,2.38427456,2.3856904
"2006-01-01 08:45",84,2006-01-01,"08","45",2.3786112,0,8,2.38427456,2.3856904
"2006-01-01 09:00",84,2006-01-01,"09","00",2.3786112,0,9,2.3644528,2.3644528
